condition,stage,scope,action_index,ratio,eligible_pairs
FIXED_NOISE,raw_policy,arms,7,0.16666666666666666,1080
FIXED_NOISE,raw_policy,arms,8,0.53125,960
FIXED_NOISE,raw_policy,arms,9,0.17142857142857143,1050
FIXED_NOISE,raw_policy,arms,10,0.2564102564102564,1170
FIXED_NOISE,raw_policy,arms,11,0.39285714285714285,840
FIXED_NOISE,raw_policy,arms,12,0.43902439024390244,1230
FIXED_NOISE,raw_policy,arms,13,0.24390243902439024,1230
FIXED_NOISE,robot_unit,all,0,0.7894736842105263,570
FIXED_NOISE,robot_unit,all,1,1.0,150
FIXED_NOISE,robot_unit,all,2,0.8333333333333334,180
FIXED_NOISE,robot_unit,all,3,1.0,210
FIXED_NOISE,robot_unit,all,4,0.9090909090909091,330
FIXED_NOISE,robot_unit,all,5,1.0,30
FIXED_NOISE,robot_unit,all,6,1.0,450
FIXED_NOISE,robot_unit,all,7,0.125,960
FIXED_NOISE,robot_unit,all,8,0.2857142857142857,210
FIXED_NOISE,robot_unit,all,9,0.18181818181818182,990
FIXED_NOISE,robot_unit,all,10,0.22727272727272727,660
FIXED_NOISE,robot_unit,all,11,0.4166666666666667,720
FIXED_NOISE,robot_unit,all,12,0.3157894736842105,570
FIXED_NOISE,robot_unit,all,13,0.24242424242424243,990
FIXED_NOISE,robot_unit,all,14,0.9333333333333333,450
FIXED_NOISE,robot_unit,all,15,1.0,180
FIXED_NOISE,robot_unit,right_arm,0,0.7894736842105263,570
FIXED_NOISE,robot_unit,right_arm,1,1.0,150
FIXED_NOISE,robot_unit,right_arm,2,0.8333333333333334,180
FIXED_NOISE,robot_unit,right_arm,3,1.0,210
FIXED_NOISE,robot_unit,right_arm,4,0.9090909090909091,330
FIXED_NOISE,robot_unit,right_arm,5,1.0,30
FIXED_NOISE,robot_unit,right_arm,6,1.0,450
FIXED_NOISE,robot_unit,left_arm,7,0.125,960
FIXED_NOISE,robot_unit,left_arm,8,0.2857142857142857,210
FIXED_NOISE,robot_unit,left_arm,9,0.18181818181818182,990
FIXED_NOISE,robot_unit,left_arm,10,0.22727272727272727,660
FIXED_NOISE,robot_unit,left_arm,11,0.4166666666666667,720
FIXED_NOISE,robot_unit,left_arm,12,0.3157894736842105,570
FIXED_NOISE,robot_unit,left_arm,13,0.24242424242424243,990
FIXED_NOISE,robot_unit,gripper,14,0.9333333333333333,450
FIXED_NOISE,robot_unit,gripper,15,1.0,180
FIXED_NOISE,robot_unit,arms,0,0.7894736842105263,570
FIXED_NOISE,robot_unit,arms,1,1.0,150
FIXED_NOISE,robot_unit,arms,2,0.8333333333333334,180
FIXED_NOISE,robot_unit,arms,3,1.0,210
FIXED_NOISE,robot_unit,arms,4,0.9090909090909091,330
FIXED_NOISE,robot_unit,arms,5,1.0,30
FIXED_NOISE,robot_unit,arms,6,1.0,450
FIXED_NOISE,robot_unit,arms,7,0.125,960
FIXED_NOISE,robot_unit,arms,8,0.2857142857142857,210
FIXED_NOISE,robot_unit,arms,9,0.18181818181818182,990
FIXED_NOISE,robot_unit,arms,10,0.22727272727272727,660
FIXED_NOISE,robot_unit,arms,11,0.4166666666666667,720
FIXED_NOISE,robot_unit,arms,12,0.3157894736842105,570
FIXED_NOISE,robot_unit,arms,13,0.24242424242424243,990
