condition,stage,run,rmse_vs_run0,l2_vs_run0,max_abs_vs_run0
RANDOM_NOISE,raw_policy,29,0.08881890028715134,2.5121779441833496,0.5407741069793701
RANDOM_NOISE,robot_unit,1,0.03585391864180565,1.0141019821166992,0.17078807950019836
RANDOM_NOISE,robot_unit,2,0.04750451818108559,1.3436306715011597,0.19934459030628204
RANDOM_NOISE,robot_unit,3,0.03020179085433483,0.8542356491088867,0.13187158107757568
RANDOM_NOISE,robot_unit,4,0.03604874387383461,1.019612431526184,0.17033158242702484
RANDOM_NOISE,robot_unit,5,0.039046790450811386,1.104410171508789,0.229905366897583
RANDOM_NOISE,robot_unit,6,0.02892451547086239,0.818108856678009,0.10901106894016266
RANDOM_NOISE,robot_unit,7,0.0335075743496418,0.9477372765541077,0.22488287091255188
RANDOM_NOISE,robot_unit,8,0.037467531859874725,1.0597418546676636,0.2531300485134125
RANDOM_NOISE,robot_unit,9,0.04228447750210762,1.1959855556488037,0.1974329948425293
RANDOM_NOISE,robot_unit,10,0.028278065845370293,0.7998245358467102,0.12237858772277832
RANDOM_NOISE,robot_unit,11,0.023875154554843903,0.6752913594245911,0.11774103343486786
RANDOM_NOISE,robot_unit,12,0.02771676331758499,0.7839483618736267,0.13939356803894043
RANDOM_NOISE,robot_unit,13,0.03057951293885708,0.8649193048477173,0.14893382787704468
RANDOM_NOISE,robot_unit,14,0.045215003192424774,1.278873324394226,0.19050413370132446
RANDOM_NOISE,robot_unit,15,0.03744669258594513,1.059152364730835,0.20357173681259155
RANDOM_NOISE,robot_unit,16,0.03575580567121506,1.0113269090652466,0.1779899299144745
RANDOM_NOISE,robot_unit,17,0.0346023328602314,0.9787017107009888,0.15871620178222656
RANDOM_NOISE,robot_unit,18,0.02779647707939148,0.7862030863761902,0.1225440502166748
RANDOM_NOISE,robot_unit,19,0.04532945901155472,1.2821109294891357,0.25171908736228943
RANDOM_NOISE,robot_unit,20,0.029295790940523148,0.8286100625991821,0.18230664730072021
RANDOM_NOISE,robot_unit,21,0.047007426619529724,1.3295707702636719,0.21731555461883545
RANDOM_NOISE,robot_unit,22,0.026915481314063072,0.7612848281860352,0.14757071435451508
RANDOM_NOISE,robot_unit,23,0.029318418353796005,0.8292500972747803,0.1329295039176941
RANDOM_NOISE,robot_unit,24,0.026106959208846092,0.738416314125061,0.14158248901367188
RANDOM_NOISE,robot_unit,25,0.03151632100343704,0.8914161324501038,0.1465902328491211
RANDOM_NOISE,robot_unit,26,0.03528739511966705,0.9980783462524414,0.17762091755867004
RANDOM_NOISE,robot_unit,27,0.026936205103993416,0.7618709802627563,0.13256925344467163
RANDOM_NOISE,robot_unit,28,0.027311278507113457,0.7724795341491699,0.1115654706954956
RANDOM_NOISE,robot_unit,29,0.02739337645471096,0.7748016715049744,0.11783897876739502
FIXED_NOISE,raw_policy,1,0.0,0.0,0.0
FIXED_NOISE,raw_policy,2,0.0,0.0,0.0
FIXED_NOISE,raw_policy,3,0.0,0.0,0.0
FIXED_NOISE,raw_policy,4,0.0,0.0,0.0
FIXED_NOISE,raw_policy,5,0.0,0.0,0.0
FIXED_NOISE,raw_policy,6,0.0,0.0,0.0
FIXED_NOISE,raw_policy,7,0.0,0.0,0.0
FIXED_NOISE,raw_policy,8,0.0,0.0,0.0
FIXED_NOISE,raw_policy,9,0.0,0.0,0.0
FIXED_NOISE,raw_policy,10,0.0,0.0,0.0
FIXED_NOISE,raw_policy,11,0.0,0.0,0.0
FIXED_NOISE,raw_policy,12,0.0,0.0,0.0
FIXED_NOISE,raw_policy,13,0.0,0.0,0.0
FIXED_NOISE,raw_policy,14,0.0,0.0,0.0
FIXED_NOISE,raw_policy,15,0.0,0.0,0.0
FIXED_NOISE,raw_policy,16,0.0,0.0,0.0
FIXED_NOISE,raw_policy,17,0.0,0.0,0.0
FIXED_NOISE,raw_policy,18,0.0,0.0,0.0
FIXED_NOISE,raw_policy,19,0.0,0.0,0.0
FIXED_NOISE,raw_policy,20,0.0,0.0,0.0
FIXED_NOISE,raw_policy,21,0.0,0.0,0.0
FIXED_NOISE,raw_policy,22,0.0,0.0,0.0
FIXED_NOISE,raw_policy,23,0.0,0.0,0.0
FIXED_NOISE,raw_policy,24,0.0,0.0,0.0
FIXED_NOISE,raw_policy,25,0.0,0.0,0.0
FIXED_NOISE,raw_policy,26,0.0,0.0,0.0
FIXED_NOISE,raw_policy,27,0.0,0.0,0.0
FIXED_NOISE,raw_policy,28,0.0,0.0,0.0
FIXED_NOISE,raw_policy,29,0.0,0.0,0.0
FIXED_NOISE,robot_unit,1,0.0,0.0,0.0
FIXED_NOISE,robot_unit,2,0.0,0.0,0.0
FIXED_NOISE,robot_unit,3,0.0,0.0,0.0
FIXED_NOISE,robot_unit,4,0.0,0.0,0.0
FIXED_NOISE,robot_unit,5,0.0,0.0,0.0
FIXED_NOISE,robot_unit,6,0.0,0.0,0.0
FIXED_NOISE,robot_unit,7,0.0,0.0,0.0
FIXED_NOISE,robot_unit,8,0.0,0.0,0.0
FIXED_NOISE,robot_unit,9,0.0,0.0,0.0
