num_steps,stage,scope,metric,value
20,raw_policy,all,within_chunk_delta_p95,0.12385101020336144
20,raw_policy,all,within_chunk_delta_p99,0.16142698764801008
20,raw_policy,all,within_chunk_delta_min,0.021145284175872803
20,raw_policy,all,within_chunk_delta_max,0.180306077003479
20,raw_policy,all,within_chunk_second_delta_mean,0.0847297419483463
20,raw_policy,all,within_chunk_second_delta_median,0.07848802208900452
20,raw_policy,all,within_chunk_second_delta_p90,0.1310655325651169
20,raw_policy,all,within_chunk_second_delta_p95,0.15280394703149794
20,raw_policy,all,within_chunk_second_delta_p99,0.1745816715061665
20,raw_policy,all,within_chunk_second_delta_min,0.03989112377166748
20,raw_policy,all,within_chunk_second_delta_max,0.18428581953048706
20,raw_policy,all,oscillation_ratio,0.5496828752642706
20,raw_policy,right_arm,across_run_std_mean,0.0
20,raw_policy,right_arm,across_run_std_median,0.0
20,raw_policy,right_arm,across_run_std_p90,0.0
20,raw_policy,right_arm,across_run_std_p95,0.0
20,raw_policy,right_arm,across_run_std_p99,0.0
20,raw_policy,right_arm,across_run_std_min,0.0
20,raw_policy,right_arm,across_run_std_max,0.0
20,raw_policy,right_arm,within_chunk_delta_mean,0.02397810013926759
20,raw_policy,right_arm,within_chunk_delta_median,0.021145284175872803
20,raw_policy,right_arm,within_chunk_delta_p90,0.034925234317779545
20,raw_policy,right_arm,within_chunk_delta_p95,0.03699865341186523
20,raw_policy,right_arm,within_chunk_delta_p99,0.047710752487182616
20,raw_policy,right_arm,within_chunk_delta_min,0.010095477104187012
20,raw_policy,right_arm,within_chunk_delta_max,0.04812002182006836
20,raw_policy,right_arm,within_chunk_second_delta_mean,0.041464259227116905
20,raw_policy,right_arm,within_chunk_second_delta_median,0.03980797529220581
20,raw_policy,right_arm,within_chunk_second_delta_p90,0.061862927675247224
20,raw_policy,right_arm,within_chunk_second_delta_p95,0.06816553175449372
20,raw_policy,right_arm,within_chunk_second_delta_p99,0.07934755563735964
20,raw_policy,right_arm,within_chunk_second_delta_min,0.014266163110733032
20,raw_policy,right_arm,within_chunk_second_delta_max,0.0854920744895935
20,raw_policy,right_arm,oscillation_ratio,0.8313253012048193
20,raw_policy,left_arm,across_run_std_mean,0.0
20,raw_policy,left_arm,across_run_std_median,0.0
20,raw_policy,left_arm,across_run_std_p90,0.0
20,raw_policy,left_arm,across_run_std_p95,0.0
20,raw_policy,left_arm,across_run_std_p99,0.0
20,raw_policy,left_arm,across_run_std_min,0.0
20,raw_policy,left_arm,across_run_std_max,0.0
20,raw_policy,left_arm,within_chunk_delta_mean,0.06611090830090094
20,raw_policy,left_arm,within_chunk_delta_median,0.06162381172180176
20,raw_policy,left_arm,within_chunk_delta_p90,0.11345646381378174
20,raw_policy,left_arm,within_chunk_delta_p95,0.12385101020336144
20,raw_policy,left_arm,within_chunk_delta_p99,0.16142698764801008
20,raw_policy,left_arm,within_chunk_delta_min,0.01811078190803528
20,raw_policy,left_arm,within_chunk_delta_max,0.180306077003479
20,raw_policy,left_arm,within_chunk_second_delta_mean,0.0830871391420563
20,raw_policy,left_arm,within_chunk_second_delta_median,0.07620711624622345
20,raw_policy,left_arm,within_chunk_second_delta_p90,0.1310655325651169
20,raw_policy,left_arm,within_chunk_second_delta_p95,0.15280394703149794
20,raw_policy,left_arm,within_chunk_second_delta_p99,0.1745816715061665
20,raw_policy,left_arm,within_chunk_second_delta_min,0.025573134422302246
20,raw_policy,left_arm,within_chunk_second_delta_max,0.18428581953048706
20,raw_policy,left_arm,oscillation_ratio,0.33984375
20,raw_policy,gripper,across_run_std_mean,0.0
20,raw_policy,gripper,across_run_std_median,0.0
20,raw_policy,gripper,across_run_std_p90,0.0
20,raw_policy,gripper,across_run_std_p95,0.0
20,raw_policy,gripper,across_run_std_p99,0.0
20,raw_policy,gripper,across_run_std_min,0.0
20,raw_policy,gripper,across_run_std_max,0.0
20,raw_policy,gripper,within_chunk_delta_mean,0.018509307077952793
20,raw_policy,gripper,within_chunk_delta_median,0.018573343753814697
20,raw_policy,gripper,within_chunk_delta_p90,0.03234623074531556
20,raw_policy,gripper,within_chunk_delta_p95,0.040133428573608396
20,raw_policy,gripper,within_chunk_delta_p99,0.04236522912979125
20,raw_policy,gripper,within_chunk_delta_min,0.0015205740928649902
20,raw_policy,gripper,within_chunk_delta_max,0.04318505525588989
20,raw_policy,gripper,within_chunk_second_delta_mean,0.03180392893652121
20,raw_policy,gripper,within_chunk_second_delta_median,0.02888578176498413
20,raw_policy,gripper,within_chunk_second_delta_p90,0.053045243024826064
20,raw_policy,gripper,within_chunk_second_delta_p95,0.06068639904260635
20,raw_policy,gripper,within_chunk_second_delta_p99,0.07254951208829882
20,raw_policy,gripper,within_chunk_second_delta_min,0.005738615989685059
20,raw_policy,gripper,within_chunk_second_delta_max,0.08162105083465576
20,raw_policy,gripper,oscillation_ratio,0.6862745098039216
20,raw_policy,arms,across_run_std_mean,0.0
20,raw_policy,arms,across_run_std_median,0.0
20,raw_policy,arms,across_run_std_p90,0.0
20,raw_policy,arms,across_run_std_p95,0.0
20,raw_policy,arms,across_run_std_p99,0.0
20,raw_policy,arms,across_run_std_min,0.0
20,raw_policy,arms,across_run_std_max,0.0
20,raw_policy,arms,within_chunk_delta_mean,0.06656447045352994
20,raw_policy,arms,within_chunk_delta_median,0.06162381172180176
20,raw_policy,arms,within_chunk_delta_p90,0.11345646381378174
20,raw_policy,arms,within_chunk_delta_p95,0.12385101020336144
20,raw_policy,arms,within_chunk_delta_p99,0.16142698764801008
20,raw_policy,arms,within_chunk_delta_min,0.021145284175872803
20,raw_policy,arms,within_chunk_delta_max,0.180306077003479
20,raw_policy,arms,within_chunk_second_delta_mean,0.08472588813553254
20,raw_policy,arms,within_chunk_second_delta_median,0.07848802208900452
20,raw_policy,arms,within_chunk_second_delta_p90,0.1310655325651169
20,raw_policy,arms,within_chunk_second_delta_p95,0.15280394703149794
20,raw_policy,arms,within_chunk_second_delta_p99,0.1745816715061665
20,raw_policy,arms,within_chunk_second_delta_min,0.03989112377166748
20,raw_policy,arms,within_chunk_second_delta_max,0.18428581953048706
20,raw_policy,arms,oscillation_ratio,0.533175355450237
20,robot_unit,all,across_run_std_mean,0.0
20,robot_unit,all,across_run_std_median,0.0
20,robot_unit,all,across_run_std_p90,0.0
20,robot_unit,all,across_run_std_p95,0.0
20,robot_unit,all,across_run_std_p99,0.0
20,robot_unit,all,across_run_std_min,0.0
20,robot_unit,all,across_run_std_max,0.0
20,robot_unit,all,within_chunk_delta_mean,0.022881330542114317
20,robot_unit,all,within_chunk_delta_median,0.019144266843795776
20,robot_unit,all,within_chunk_delta_p90,0.039350607991218575
20,robot_unit,all,within_chunk_delta_p95,0.0439354807138443
20,robot_unit,all,within_chunk_delta_p99,0.0467931467294693
20,robot_unit,all,within_chunk_delta_min,0.007772564888000488
20,robot_unit,all,within_chunk_delta_max,0.04730738699436188
20,robot_unit,all,within_chunk_second_delta_mean,0.025829258064428966
20,robot_unit,all,within_chunk_second_delta_median,0.02407403290271759
20,robot_unit,all,within_chunk_second_delta_p90,0.036575353145599364
20,robot_unit,all,within_chunk_second_delta_p95,0.04087053686380386
20,robot_unit,all,within_chunk_second_delta_p99,0.04573498487472535
20,robot_unit,all,within_chunk_second_delta_min,0.012903332710266113
20,robot_unit,all,within_chunk_second_delta_max,0.04930746555328369
20,robot_unit,all,oscillation_ratio,0.44782608695652176
20,robot_unit,right_arm,across_run_std_mean,0.0
20,robot_unit,right_arm,across_run_std_median,0.0
20,robot_unit,right_arm,across_run_std_p90,0.0
20,robot_unit,right_arm,across_run_std_p95,0.0
20,robot_unit,right_arm,across_run_std_p99,0.0
20,robot_unit,right_arm,across_run_std_min,0.0
20,robot_unit,right_arm,across_run_std_max,0.0
20,robot_unit,right_arm,within_chunk_delta_mean,0.008993398778292597
20,robot_unit,right_arm,within_chunk_delta_median,0.008056193590164185
20,robot_unit,right_arm,within_chunk_delta_p90,0.013531470298767091
20,robot_unit,right_arm,within_chunk_delta_p95,0.015165442228317259
20,robot_unit,right_arm,within_chunk_delta_p99,0.021796644926071147
20,robot_unit,right_arm,within_chunk_delta_min,0.004128783941268921
20,robot_unit,right_arm,within_chunk_delta_max,0.024244993925094604
20,robot_unit,right_arm,within_chunk_second_delta_mean,0.015677449914316337
20,robot_unit,right_arm,within_chunk_second_delta_median,0.013509809970855713
20,robot_unit,right_arm,within_chunk_second_delta_p90,0.025801372528076186
20,robot_unit,right_arm,within_chunk_second_delta_p95,0.0321920946240425
20,robot_unit,right_arm,within_chunk_second_delta_p99,0.034651118814945224
20,robot_unit,right_arm,within_chunk_second_delta_min,0.0059511661529541016
20,robot_unit,right_arm,within_chunk_second_delta_max,0.03475669026374817
20,robot_unit,right_arm,oscillation_ratio,0.9574468085106383
20,robot_unit,left_arm,across_run_std_mean,0.0
20,robot_unit,left_arm,across_run_std_median,0.0
20,robot_unit,left_arm,across_run_std_p90,0.0
20,robot_unit,left_arm,across_run_std_p95,0.0
20,robot_unit,left_arm,across_run_std_p99,0.0
20,robot_unit,left_arm,across_run_std_min,0.0
20,robot_unit,left_arm,across_run_std_max,0.0
20,robot_unit,left_arm,within_chunk_delta_mean,0.022587856429876114
20,robot_unit,left_arm,within_chunk_delta_median,0.01843440532684326
20,robot_unit,left_arm,within_chunk_delta_p90,0.039350607991218575
20,robot_unit,left_arm,within_chunk_delta_p95,0.0439354807138443
20,robot_unit,left_arm,within_chunk_delta_p99,0.0467931467294693
20,robot_unit,left_arm,within_chunk_delta_min,0.007772564888000488
20,robot_unit,left_arm,within_chunk_delta_max,0.04730738699436188
20,robot_unit,left_arm,within_chunk_second_delta_mean,0.024574317503720522
20,robot_unit,left_arm,within_chunk_second_delta_median,0.022358179092407227
20,robot_unit,left_arm,within_chunk_second_delta_p90,0.036575353145599364
20,robot_unit,left_arm,within_chunk_second_delta_p95,0.04087053686380386
20,robot_unit,left_arm,within_chunk_second_delta_p99,0.04573498487472535
20,robot_unit,left_arm,within_chunk_second_delta_min,0.011022865772247314
20,robot_unit,left_arm,within_chunk_second_delta_max,0.04930746555328369
